opt_ID,opt_name_data,opt_desc_data,opt_name_size,opt_desc_size,client_class,id_client,segment,duration,opt_class,sales_capture,count_aai,pricing_struct,business_entity,client_location,competition_type,alliances,quarter,mergers,stage,win_prob,total_current_rev,aai_label
11025695,,,6,7,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type B,F,France,Sole Sourced,other,FY20Q1,other,3B,100,96,0
11049062,,,6,6,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type A,F,France,-,other,FY20Q2,other,0A,30,90,0
10996111,,,5,22,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type B,F,France,Sole Sourced,non_data_all,FY20Q1,other,3B,100,20,0
11047571,,,5,6,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type A,F,France,Sole Sourced,other,FY20Q1,other,3B,100,18,0
11049169,,,5,13,Très haute,0,B,Moins de 100,Moyenne,michelle.g,5,type B,F,France,Sole Sourced,data_all,FY21Q1,other,0A,30,11966,1
10888630,,,5,4,Très haute,0,B,Moins de 100,Moyenne,michelle.g,5,type B,F,France,Sole Sourced,non_data_all,FY20Q3,other,1,30,2176,1
11049139,,,4,28,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type B,F,France,-,non_data_all,FY20Q3,other,0A,30,1088,1
11013501,,,8,9,Très haute,0,B,Moins de 100,Faible,michelle.g,5,type B,E,France,Sole Sourced,non_data_all,FY20Q1,other,3B,100,588,1
10887251,,,3,5,Très haute,0,B,Moins de 100,Faible,blank,59,type B,C,France,Sole Sourced,other,FY21Q3,other,0A,100,870,0
11049070,,,6,6,Très haute,0,B,Moins de 100,Faible,blank,59,type A,F,France,-,other,FY20Q3,other,0A,30,90,0
11049075,,,6,6,Très haute,0,B,Moins de 100,Faible,blank,59,type A,F,France,-,other,FY20Q4,other,0A,30,90,0
10888602,,,7,7,Très haute,0,B,Moins de 100,Importante,aurore.g,1,type B,C,France,Competitive,data_all,FY21Q2,data_acq,1,30,26162,0
10622053,,,7,14,Très haute,0,B,Moins de 100,Importante,aurore.g,1,type B,E,France,Sole Sourced,non_data_all,FY20Q1,non_data_acq,1,30,23146,0
10888587,,,5,40,Très haute,0,B,Moins de 100,Moyenne,aurore.g,1,type B,C,France,Competitive,other,FY20Q2,other,3B,100,19170,0
10888618,,,5,4,Très haute,0,B,Moins de 100,Moyenne,aurore.g,1,type B,C,France,Competitive,other,FY20Q2,other,2B,30,5506,0
11069744,,data,4,24,Très haute,0,B,Moins de 100,Moyenne,aurore.g,1,type B,C,France,Competitive,other,FY20Q3,other,2B,30,4406,0
10888515,,,7,14,Très haute,0,B,Moins de 100,Faible,aurore.g,1,type B,C,France,Competitive,other,FY20Q3,other,3B,100,1958,0
10846322,,,5,12,Très haute,0,B,Moins de 100,Faible,aurore.g,1,type B,C,France,Sole Sourced,other,FY20Q3,other,1,100,1872,0
10888121,,,6,6,Très haute,0,B,Moins de 100,Moyenne,aurore.g,1,type B,C,France,Competitive,other,FY19Q4,other,3B,100,1868,0
10917720,,,5,5,Très haute,0,B,Moins de 100,Faible,aurore.g,1,type B,E,France,Sole Sourced,other,FY20Q4,other,0A,100,1850,0
11085079,,,6,3,Très haute,0,B,Moins de 100,Faible,aurore.g,1,type B,C,France,Sole Sourced,other,FY20Q3,other,3B,100,1606,0
11021662,,,4,4,Très haute,0,B,Moins de 100,Faible,aurore.g,1,type B,C,France,Sole Sourced,other,FY20Q1,other,3B,100,624,0
11087646,,,4,4,Très haute,0,B,Moins de 100,Faible,aurore.g,1,type B,C,France,Sole Sourced,other,FY20Q2,other,3B,100,614,0
11096536,,,5,5,Très haute,0,B,Moins de 100,Faible,aurore.g,1,type B,E,France,Sole Sourced,other,FY20Q2,other,3B,100,356,0
10932625,,,5,5,Très haute,0,B,Moins de 100,Faible,aurore.g,1,type B,C,France,Sole Sourced,other,FY20Q2,other,2B,50,268,0
11080251,,,5,5,Très haute,0,B,Moins de 100,Faible,aurore.g,1,type B,C,France,Sole Sourced,other,FY20Q1,other,3B,90,44,0
11060915,,,5,5,Très haute,0,B,Moins de 100,Faible,aurore.g,1,type B,C,France,Sole Sourced,other,FY20Q1,other,3B,100,658,1
11039101,,,4,7,Très haute,0,B,Moins de 100,Faible,audrey.m,0,type A,F,France,Sole Sourced,non_data_all,FY20Q1,other,3B,100,64,0
11095406,,,4,8,Très haute,0,B,Moins de 100,Faible,audrey.m,0,type B,F,France,Sole Sourced,non_data_all,FY20Q2,other,3B,100,62,0
11063624,,,4,9,Très haute,0,B,Moins de 100,Faible,audrey.m,0,type B,F,France,Sole Sourced,non_data_all,FY20Q2,other,3B,100,50,0
11108600,,,4,8,Très haute,0,B,Moins de 100,Faible,audrey.m,0,type B,F,France,Sole Sourced,non_data_all,FY20Q3,other,3B,100,38,0
11081041,,,5,6,Très haute,0,B,Moins de 100,Faible,audrey.m,0,type B,F,France,Sole Sourced,non_data_all,FY20Q2,other,3B,100,32,0
11084352,,,3,4,Très haute,0,B,Moins de 100,Faible,audrey.m,0,type B,F,France,Sole Sourced,non_data_all,FY20Q2,other,3B,100,16,0
11104410,,,4,7,Très haute,0,B,Moins de 100,Faible,audrey.m,0,type A,F,France,Sole Sourced,non_data_all,FY20Q2,other,3B,100,8,0
11064420,,,3,5,Très haute,0,B,Moins de 100,Importante,capucine.v,0,type B,F,France,Competitive,other,FY21Q1,other,2B,30,13574,0
10875551,,,6,15,Très haute,0,B,Moins de 100,Moyenne,édith.p,9,type B,D,France,Competitive,other,FY20Q4,non_data_acq,2B,30,10226,0
10875494,,,5,4,Très haute,0,B,Moins de 100,Faible,édith.p,9,type B,D,France,Sole Sourced,non_data_all,FY20Q2,other,3B,100,1972,0
11112570,,,3,3,Très haute,0,B,Moins de 100,Faible,édith.p,9,type B,C,France,Competitive,other,FY20Q3,other,2B,10,1418,0
11037425,,,5,6,Très haute,0,B,Moins de 100,Faible,édith.p,9,type B,F,France,Sole Sourced,other,FY20Q3,data_acq,1,1,436,0
10833902,Data,Analyti data,6,44,Très haute,0,B,Moins de 100,Importante,édith.p,9,type B,F,France,Competitive,data_all,FY21Q1,data_acq,2B,1,13176,1
10959321,,,5,43,Très haute,0,B,Moins de 100,Importante,édith.p,9,type B,F,France,Competitive,data_all,FY20Q2,data_acq,2B,30,4074,1
11087864,,,5,6,Très haute,0,B,Moins de 100,Faible,édith.p,9,type A,E,France,Sole Sourced,other,FY20Q3,data_acq,1,1,1872,1
10934706,,,5,4,Très haute,0,B,Moins de 100,Faible,édith.p,9,type B,E,France,Sole Sourced,other,FY21Q1,other,1,1,1828,1
10785256,,,5,2,Très haute,0,B,Moins de 100,Faible,édith.p,9,type B,F,France,Sole Sourced,other,FY20Q4,other,2B,90,1740,1
11055857,Analyse,,5,2,Très haute,0,B,Moins de 100,Faible,édith.p,9,type B,F,France,Competitive,data_all,FY20Q3,data_acq,3B,70,1480,1
10968962,Data,data,6,13,Très haute,0,B,Moins de 100,Faible,édith.p,9,type B,E,France,Sole Sourced,other,FY20Q2,other,1,1,1376,1
11026843,,,6,2,Très haute,0,B,Moins de 100,Faible,édith.p,9,type B,E,France,Competitive,other,FY20Q1,other,2B,30,1220,1
11088567,,,5,6,Très haute,0,B,Moins de 100,Faible,édith.p,9,type B,E,France,Sole Sourced,other,FY20Q2,other,1,10,550,1
11089252,,,5,4,Très haute,0,B,Moins de 100,Moyenne,hortense.g,0,type B,D,France,Sole Sourced,other,FY20Q4,other,1,10,5222,0
11066988,,,4,13,Très haute,0,B,Moins de 100,Moyenne,hélène.b,0,type B,D,France,Competitive,other,FY20Q2,other,0A,30,3106,0
11047416,,,6,12,Très haute,0,B,Moins de 100,Faible,hélène.b,0,type B,E,France,Sole Sourced,other,FY20Q4,other,1,70,980,0
10935288,,,4,3,Très haute,0,B,Moins de 100,Moyenne,yves.b,0,type B,E,France,Sole Sourced,other,FY21Q1,other,1,10,2176,0
10946276,,,3,1,Très haute,0,B,Moins de 100,Faible,emmanuel.k,0,type B,E,France,Competitive,non_data_all,FY20Q2,other,0A,0,1972,0
11099604,,,3,3,Très haute,0,B,Moins de 100,Faible,lucie.l,1,type B,D,France,Sole Sourced,other,FY21Q2,other,1,30,1632,0
11111907,,,3,3,Très haute,0,B,Moins de 100,Faible,lucie.l,1,type B,D,France,Competitive,other,FY20Q3,other,2B,30,512,0
10917341,,,5,2,Très haute,0,B,Moins de 100,Faible,lucie.l,1,type B,E,France,Competitive,other,FY20Q4,other,1,30,652,1
11045457,,,4,17,Très haute,0,B,Moins de 100,Faible,emmanuel.h,0,type B,F,France,Competitive,non_data_all,FY20Q2,other,3B,30,1366,0
11073789,,,5,5,Très haute,0,B,Moins de 100,Importante,élodie.p,2,type B,E,France,Sole Sourced,other,FY20Q2,other,3B,100,1358,0
11122446,,,7,34,Très haute,0,B,Moins de 100,Moyenne,élodie.p,2,type B,F,France,Sole Sourced,data_all,FY20Q2,other,3B,100,2644,1
11052679,,,5,4,Très haute,0,B,Moins de 100,Faible,élodie.p,2,type B,E,France,Sole Sourced,other,FY20Q1,other,3B,100,672,1
10799736,,,4,3,Très haute,0,B,Moins de 100,Faible,rené.c,0,type B,C,France,Sole Sourced,other,FY20Q1,other,0A,1,1108,0
11096901,,,7,6,Très haute,0,B,Moins de 100,Faible,éric.m,0,type B,E,France,Sole Sourced,other,FY20Q2,other,0A,1,684,0
11096873,,,8,6,Très haute,0,B,Moins de 100,Faible,éric.m,0,type B,E,France,Sole Sourced,other,FY20Q3,other,1,30,630,0
11091936,,,4,41,Très haute,0,B,Moins de 100,Importante,théophile.r,0,type B,F,France,Sole Sourced,non_data_all,FY20Q2,other,3B,100,488,0
10949207,Automat Factory,Automat factory,4,2,Très haute,0,B,Moins de 100,Faible,suzanne.p,0,type B,F,France,Sole Sourced,other,FY20Q3,other,1,1,436,0
10936124,,,6,6,Très haute,0,B,Moins de 100,Faible,sylvie.j,6,type B,E,France,Competitive,other,FY20Q3,other,2A,30,434,0
10991134,,,4,4,Très haute,0,B,Moins de 100,Importante,sylvie.j,6,type B,E,France,Sole Sourced,other,FY20Q1,other,3B,100,184,0
10993556,,,4,32,Très haute,0,B,Moins de 100,Importante,sylvie.j,6,type B,C,France,Competitive,other,FY20Q3,other,2B,10,29746,1
11078549,,,7,10,Très haute,0,B,Moins de 100,Faible,sylvie.j,6,type B,E,France,Sole Sourced,other,FY20Q1,other,3B,100,1924,1
11087194,,,7,10,Très haute,0,B,Moins de 100,Faible,sylvie.j,6,type B,C,France,Sole Sourced,other,FY20Q2,other,3B,100,1920,1
11094879,,,6,10,Très haute,0,B,Moins de 100,Faible,sylvie.j,6,type B,E,France,Sole Sourced,other,FY20Q2,other,3B,100,1616,1
11110730,,,7,7,Très haute,0,B,Moins de 100,Faible,sylvie.j,6,type B,C,France,Sole Sourced,other,FY20Q2,other,3B,100,1088,1
11089278,,,5,5,Très haute,0,B,Moins de 100,Très Importante,sylvie.j,6,type B,E,France,Sole Sourced,other,FY20Q2,other,3B,100,890,1
11064379,,,5,41,Très haute,0,B,Moins de 100,Importante,adrien.c,0,type B,F,France,Sole Sourced,non_data_all,FY20Q1,other,3B,100,366,0
11128911,,,5,42,Très haute,0,B,Moins de 100,Importante,adrien.c,0,type B,F,France,Competitive,non_data_all,FY20Q3,other,3B,90,118,0
11053458,,,5,35,Très haute,0,B,Moins de 100,Importante,adrien.c,0,type B,F,France,Sole Sourced,non_data_all,FY20Q1,non_data_acq,3B,100,58,0
11092656,,,4,0,Très haute,0,B,Moins de 100,Importante,adrien.c,0,type B,D,France,Sole Sourced,other,FY20Q2,other,3B,100,40,0
10888641,,,1,13,Très haute,Restricted,B,Moins de 100,Très Importante,michelle.g,5,type B,F,France,Competitive,data_all,FY21Q1,other,0A,10,108786,1
10844648,,HANA HANA,1,41,Très haute,Restricted,C,Moins de 100,Très Importante,émilie.b,0,type B,F,France,Competitive,data_all,FY21Q3,other,2B,50,174056,0
11067272,,,1,40,Très haute,Restricted,A,Moins de 100,Importante,guillaume.d,10,type B,F,France,Sole Sourced,other,FY21Q1,other,1,50,19582,0
10586012,,,1,6,Très haute,Restricted,C,Moins de 100,Importante,alfred.g,4,type A,D,France,-,data_all,FY20Q2,non_data_acq,0A,30,28660,1
11058711,,analyti,1,36,Moyenne,Restricted,A,Moins de 100,Faible,andré.g,11,type B,F,Netherlands,Sole Sourced,non_data_all,FY20Q3,non_data_acq,1,50,814,1
11017826,,,1,32,Basse,Restricted,E,Moins de 100,Faible,alix.f,1,type B,D,Belgium,Competitive,other,FY20Q1,other,3B,100,1220,0
11056766,,,1,28,Basse,Restricted,E,Moins de 100,Faible,alix.f,1,type B,D,Belgium,Sole Sourced,other,FY20Q1,other,3B,80,602,0
11109812,,,1,16,Basse,Restricted,A,Moins de 100,Faible,zoé.b,1,type A,D,France,Sole Sourced,other,FY20Q2,other,3B,100,210,0
11123012,,,1,16,Basse,Restricted,A,Moins de 100,Faible,zoé.b,1,type A,D,France,Sole Sourced,other,FY20Q3,non_data_acq,3B,100,192,0
11106234,,,1,16,Basse,Restricted,A,Moins de 100,Faible,zoé.b,1,type B,D,France,Competitive,other,FY20Q2,other,3B,100,122,0
11060873,,,1,34,Haute,Restricted,B,Moins de 100,Moyenne,isaac.b,0,type A,F,Netherlands,Sole Sourced,non_data_all,FY21Q1,other,1,30,2176,0
11092807,,,1,12,Très haute,Restricted,A,Moins de 100,Faible,clémence.b,0,type B,E,France,Sole Sourced,data_all,FY20Q2,other,3B,70,1146,0
11072073,,,1,12,Très haute,Restricted,A,Moins de 100,Faible,clémence.b,0,type B,E,France,Sole Sourced,data_all,FY20Q1,other,3B,80,178,0
11039727,,,1,19,Très haute,Restricted,E,Moins de 100,Faible,colette.w,0,type B,B,France,Competitive,other,FY20Q1,other,0A,60,166,0
10898802,,,1,37,Très haute,Restricted,A,Moins de 100,Très Importante,colette.l,1,type B,F,France,Competitive,data_all,FY20Q2,other,3B,100,156070,1
11083805,,,2,39,Très haute,1,C,Moins de 100,Très Importante,jérôme.d,0,type B,F,France,Competitive,data_all,FY20Q3,other,2B,50,129672,0
11005803,Analyti,,5,1,Très haute,1,C,Moins de 100,Importante,emmanuel.m,1,type A,E,France,-,other,FY21Q3,other,0A,10,21758,0
11120702,,,7,14,Très haute,1,C,Moins de 100,Faible,emmanuel.m,1,type B,F,France,Sole Sourced,non_data_all,FY20Q3,other,3B,100,300,0
11084162,Factory,Factory,6,5,Très haute,1,C,Moins de 100,Faible,emmanuel.m,1,type B,F,France,Sole Sourced,non_data_all,FY20Q2,other,3B,30,194,0
11080663,,,4,14,Très haute,1,C,Moins de 100,Faible,emmanuel.m,1,type B,F,France,Sole Sourced,non_data_all,FY20Q1,non_data_acq,3B,70,158,0
11120703,Factory,,7,14,Très haute,1,C,Moins de 100,Faible,emmanuel.m,1,type B,F,France,Sole Sourced,non_data_all,FY20Q3,other,3B,100,66,0
11080682,,,5,14,Très haute,1,C,Moins de 100,Faible,emmanuel.m,1,type B,E,France,Sole Sourced,non_data_all,FY20Q1,other,3B,70,56,0
11080714,,,4,14,Très haute,1,C,Moins de 100,Faible,emmanuel.m,1,type A,E,France,Sole Sourced,non_data_all,FY20Q1,other,3B,70,44,0
11039805,,,2,35,Très haute,1,C,Moins de 100,Moyenne,alexandre.d,1,type B,D,France,Competitive,non_data_all,FY20Q1,other,1,30,9864,0
11091270,,,7,1,Très haute,1,C,Moins de 100,Faible,alexandre.d,1,type B,D,France,Sole Sourced,non_data_all,FY20Q2,other,3B,70,2,0
11091341,,,6,1,Très haute,1,C,Moins de 100,Faible,alexandre.d,1,type B,D,France,Sole Sourced,non_data_all,FY20Q2,other,3B,70,2,0
11091354,,,6,1,Très haute,1,C,Moins de 100,Faible,alexandre.d,1,type B,D,France,Sole Sourced,non_data_all,FY20Q2,other,0A,70,2,0
11070917,,,6,1,Très haute,1,C,Moins de 100,Faible,alexandre.d,1,type B,D,France,Sole Sourced,non_data_all,FY20Q1,other,3B,100,2,0
11070955,,,6,1,Très haute,1,C,Moins de 100,Faible,alexandre.d,1,type B,D,France,Sole Sourced,non_data_all,FY20Q2,other,3B,90,2,0
11070486,,,4,7,Très haute,1,C,Moins de 100,Faible,claude.l,0,type A,F,France,Sole Sourced,non_data_all,FY20Q2,other,3B,90,18,0
11029059,,,7,41,Très haute,1,C,Moins de 100,Faible,olivie.p,11,type A,E,France,Sole Sourced,other,FY20Q1,data_acq,3B,100,596,1
10986964,,,5,1,Très haute,1,C,Moins de 100,Faible,juliette.b,1,type B,D,France,Sole Sourced,other,FY20Q4,other,1,10,1088,0
11042290,,,5,35,Très haute,1,C,Moins de 100,Moyenne,juliette.b,1,type B,D,France,Competitive,other,FY20Q4,non_data_acq,1,30,9790,1
11079308,,,4,6,Très haute,1,C,Moins de 100,Faible,lucas.g,0,type B,D,France,Competitive,other,FY20Q4,other,1,10,652,0
11080265,,,4,12,Très haute,1,C,Moins de 100,Faible,aurore.l,0,type B,F,France,Sole Sourced,non_data_all,FY20Q3,non_data_acq,1,10,248,0
11060192,,,6,6,Très haute,1,C,Moins de 100,Faible,aurore.l,0,type A,F,France,Sole Sourced,other,FY20Q1,non_data_acq,3B,100,68,0
11056259,,,3,1,Très haute,1,C,Moins de 100,Faible,aurore.l,0,type B,F,France,Sole Sourced,other,FY20Q1,non_data_acq,3B,100,40,0
11080610,,,8,14,Très haute,1,C,Moins de 100,Faible,laure.c,1,type B,E,France,Sole Sourced,non_data_all,FY20Q1,other,3B,70,66,0
10941112,FACTORY,,5,30,Très haute,1,C,Moins de 100,Moyenne,laure.c,1,type B,F,France,Competitive,non_data_all,FY20Q2,other,2B,10,3496,1
11046221,,,6,1,Très haute,1,C,Moins de 100,Faible,pauline.r,0,type B,D,France,Sole Sourced,non_data_all,FY20Q1,other,3B,70,2,0
11005834,,,6,27,Très haute,1,C,Moins de 100,Moyenne,dominique.r,1,type A,C,France,Sole Sourced,other,FY21Q1,other,1,30,8702,1
11071993,,,3,46,Très haute,1,C,Moins de 100,Moyenne,zoé.g,6,type B,C,France,Sole Sourced,other,FY20Q3,other,3B,90,7280,1
11007447,,,4,46,Très haute,1,C,Moins de 100,Moyenne,zoé.g,6,type A,C,France,Sole Sourced,other,FY20Q4,other,1,50,5440,1
11080888,,,1,46,Très haute,1,C,Moins de 100,Importante,zoé.g,6,type B,C,France,Sole Sourced,other,FY20Q2,other,3B,100,1668,1
11080873,,,2,46,Très haute,1,C,Moins de 100,Faible,zoé.g,6,type B,C,France,Sole Sourced,other,FY20Q2,other,3B,90,1432,1
11080879,,,2,46,Très haute,1,C,Moins de 100,Moyenne,zoé.g,6,type B,C,France,Sole Sourced,other,FY20Q3,other,3B,70,1150,1
11112173,,,4,10,Très haute,1,C,Moins de 100,Faible,zoé.g,6,type B,C,France,Sole Sourced,other,FY20Q3,other,3B,100,1006,1
11005838,,,4,19,Très haute,1,C,Moins de 100,Faible,adrienne.h,1,type B,E,France,Sole Sourced,other,FY20Q2,other,1,1,1872,1
10888203,,,5,9,Très haute,1,C,Moins de 100,Faible,bernadette.d,1,type B,D,France,Competitive,other,FY20Q1,other,1,10,1096,1
11117661,,Data,6,7,Très haute,1,C,Moins de 100,Faible,andrée.l,1,type B,E,France,Sole Sourced,non_data_all,FY20Q3,other,3B,70,848,1
10988797,,,6,42,Très haute,2,E,Moins de 100,Très Importante,agnès.l,0,type A,D,France,Competitive,data_all,FY20Q2,non_data_acq,3B,80,119350,0
11105240,,,5,24,Très haute,2,E,Moins de 100,Faible,agnès.l,0,type A,F,France,Sole Sourced,data_all,FY20Q3,other,3B,100,558,0
11088595,,,7,38,Très haute,2,E,Moins de 100,Moyenne,agnès.l,0,type A,D,France,Competitive,data_all,FY20Q3,other,1,5,14,0
11110224,,,3,12,Très haute,2,E,Moins de 100,Faible,blank,59,type A,D,Luxembourg,-,other,FY20Q2,other,0A,0,516,0
11110217,,,5,12,Très haute,2,E,Moins de 100,Faible,blank,59,type A,D,Luxembourg,-,other,FY20Q2,other,0A,0,230,0
11124763,,,2,12,Très haute,2,E,Moins de 100,Faible,blank,59,type A,E,Luxembourg,Sole Sourced,other,FY20Q3,other,0A,0,176,0
11078829,,Data,5,9,Très haute,2,E,Moins de 100,Faible,blank,59,type B,D,France,-,other,FY20Q1,other,0A,0,0,0
10988792,Data,,5,1,Très haute,2,E,Moins de 100,Moyenne,blank,59,type B,D,France,-,other,FY20Q3,other,0A,0,2784,1
11098387,,,5,1,Très haute,2,E,Moins de 100,Moyenne,isabelle.l,5,other,D,France,Competitive,non_data_all,FY20Q3,other,0A,15,2122,0
11051329,Data,,3,5,Très haute,2,E,Moins de 100,Faible,isabelle.l,5,type B,E,France,Competitive,other,FY20Q1,other,3B,95,574,0
11094179,,Data,5,9,Très haute,2,E,Moins de 100,Faible,isabelle.l,5,type B,D,France,Sole Sourced,non_data_all,FY20Q2,other,3B,80,528,0
11106853,,,4,16,Très haute,2,E,Moins de 100,Moyenne,alix.f,1,type B,D,France,Sole Sourced,data_all,FY20Q3,other,0A,20,11444,0
11086666,,,2,40,Très haute,2,E,Moins de 100,Faible,julien.b,11,type A,B,France,Sole Sourced,data_all,FY20Q4,data_acq,1,20,1850,0
10903575,,,1,6,Très haute,2,E,Moins de 100,Faible,suzanne.s,2,type A,D,Luxembourg,Competitive,other,FY20Q4,other,1,25,1514,0
11001601,,,4,9,Très haute,2,E,Moins de 100,Faible,suzanne.s,2,type A,D,Luxembourg,Competitive,other,FY20Q2,other,3B,100,300,0
11062272,,,4,15,Très haute,2,E,Moins de 100,Faible,stéphane.b,3,type B,D,France,Competitive,other,FY20Q1,other,3B,100,666,0
11125822,,,4,7,Très haute,2,E,Moins de 100,Faible,stéphane.b,3,type B,D,France,Sole Sourced,other,FY20Q3,other,3B,15,282,0
11099381,,,4,4,Très haute,2,E,Moins de 100,Faible,stéphane.b,3,type B,D,France,Sole Sourced,other,FY20Q3,other,3B,65,232,0
11118489,,,4,1,Très haute,2,E,Moins de 100,Faible,stéphane.b,3,type B,D,France,Competitive,other,FY20Q3,other,3B,15,154,0
11039158,,,4,14,Très haute,2,E,Moins de 100,Faible,benoît.b,8,type B,D,France,Sole Sourced,other,FY20Q1,other,3B,100,1228,0
11075525,,,4,14,Très haute,2,E,Moins de 100,Faible,benoît.b,8,type B,D,France,Sole Sourced,other,FY20Q2,data_acq,3B,100,814,0
11082046,Factory,Factory,4,31,Très haute,2,E,Moins de 100,Faible,benoît.b,8,type B,D,France,Sole Sourced,other,FY20Q2,non_data_acq,3B,80,368,0
11099222,,,5,2,Très haute,2,E,Moins de 100,Faible,benoît.b,8,type B,D,France,Sole Sourced,other,FY20Q2,other,3B,100,334,0
11050272,,,3,1,Très haute,2,E,Moins de 100,Faible,benoît.b,8,type B,D,France,Sole Sourced,other,FY20Q1,other,3B,90,142,0
11119328,,,5,9,Très haute,2,E,Moins de 100,Faible,benoît.b,8,type B,D,France,Sole Sourced,other,FY20Q2,other,3B,100,132,0
11016508,,,4,14,Très haute,2,E,Moins de 100,Moyenne,benoît.b,8,type B,D,France,Sole Sourced,other,FY20Q2,other,3B,70,2104,1
10953427,,,2,31,Très haute,2,E,Moins de 100,Faible,benoît.b,8,type B,E,France,Sole Sourced,non_data_all,FY20Q1,other,1,30,554,1
10954072,,,2,10,Très haute,2,E,Moins de 100,Faible,marthe.r,2,type A,E,France,Sole Sourced,other,FY20Q1,other,0A,20,724,1
11024796,,Automat,3,5,Très haute,2,E,Moins de 100,Faible,eugène.d,0,type B,D,France,Competitive,other,FY20Q4,other,1,30,1088,0
10942797,,,6,35,Très haute,2,E,Moins de 100,Faible,eugène.d,0,type B,D,France,Competitive,non_data_all,FY20Q4,other,1,20,870,0
11091245,,,4,34,Très haute,2,E,Moins de 100,Faible,eugène.d,0,type B,D,France,Competitive,other,FY20Q3,other,3B,30,578,0
10961959,,,5,39,Très haute,2,E,Moins de 100,Faible,eugène.d,0,type B,D,France,Competitive,non_data_all,FY20Q1,other,3B,20,426,0
11109966,,,6,3,Très haute,2,E,Moins de 100,Faible,eugène.d,0,type A,D,France,Sole Sourced,other,FY20Q3,other,3B,100,134,0
11053395,,,4,3,Très haute,2,E,Moins de 100,Faible,eugène.d,0,type B,D,France,Sole Sourced,other,FY20Q1,other,3B,100,2,0
11024010,Data,Data Data,6,14,Très haute,2,E,Moins de 100,Faible,olivie.m,1,type B,D,France,Competitive,other,FY20Q1,data_acq,3B,20,854,0
11107593,,,4,2,Très haute,2,E,Moins de 100,Faible,camille.a,0,type B,D,France,Sole Sourced,non_data_all,FY20Q3,other,0A,40,700,0
11053429,,,4,19,Très haute,2,E,Moins de 100,Faible,camille.a,0,type B,E,France,Competitive,non_data_all,FY20Q1,other,1,25,240,0
11103599,,,7,9,Très haute,2,E,Moins de 100,Faible,camille.a,0,type B,F,France,Sole Sourced,non_data_all,FY20Q2,other,3B,95,0,0
10947580,,,5,10,Très haute,2,E,Moins de 100,Faible,gilles.m,1,type A,B,France,Sole Sourced,non_data_all,FY20Q4,non_data_acq,1,30,1850,1
11082049,,,3,12,Très haute,2,E,Moins de 100,Faible,charlotte.g,0,type A,D,France,Sole Sourced,data_all,FY20Q3,other,1,20,414,0
